,metricType,symbol,metric.currentEv/freeCashFlowAnnual,metric.currentEv/freeCashFlowTTM,metric.currentRatioAnnual,metric.currentRatioQuarterly,metric.freeCashFlowAnnual,metric.freeCashFlowTTM,metric.longTermDebt/equityAnnual,metric.longTermDebt/equityQuarterly,metric.netInterestCoverageAnnual,metric.netInterestCoverageTTM,metric.payoutRatioAnnual,metric.payoutRatioTTM,metric.quickRatioAnnual,metric.quickRatioQuarterly,metric.totalDebt/totalEquityAnnual,metric.totalDebt/totalEquityQuarterly
0,financialStrength,AAPL,24.63068,22.92248,1.54013,1.59778,44777,49880,101.4576,104.6621,,,25.57007,24.48937,1.50129,1.55768,119.4048,121.6707
1,financialStrength,BAC,,,,,55843,55843,81.79525,81.79525,,,23.64028,23.64028,,,161.458,161.458
2,financialStrength,AMZN,89.50989,56.6192,1.09705,1.09705,21653,21653,65.27393,65.27393,18.93359,18.95698,,0,0.86363,0.86363,67.37995,67.37995
3,financialStrength,T,41.24717,41.24717,0.79466,0.79466,14345,14345,82.1345,82.1345,3.77371,3.74544,108.1151,108.1151,0.7531,,88.56048,88.56048
4,financialStrength,GOOGL,28.40786,28.40786,3.37405,3.37405,30972,30972,2.2607,2.2607,,,0,0,3.35196,3.35196,2.2607,2.2607
5,financialStrength,MO,,,0.59016,0.59016,1522,1522,434.6191,434.6191,,,,,0.30964,0.30964,450.6911,450.6911
6,financialStrength,DAL,15.82913,15.85127,0.40829,0.40829,2509,2509,57.77445,57.77445,29.86099,29.99099,20.57898,20.5833,0.34637,0.34637,72.66571,72.66571
7,financialStrength,AA,,,1.37729,1.37729,307,307,43.75,43.75,4.73514,4.73514,,,0.73586,0.73586,43.77432,43.77432
8,financialStrength,AXP,36.06486,36.06486,,,10565,10565,250.6827,250.6827,,,20.47957,20.47957,,,596.2637,596.2637
9,financialStrength,DD,,,1.19806,1.19806,-9989,-9989,33.22273,33.22273,4.32707,4.32707,,,0.68057,0.68057,42.56716,42.56716
10,financialStrength,BABA,44.46643,16.70333,1.30146,1.75055,16287.72,28182.86,22.40821,15.71622,,,0,0,1.26037,,26.90973,16.27679
11,financialStrength,ABT,56.80487,57.00656,1.44224,1.44224,2228,2228,51.83672,53.59303,8.01029,8.01029,65.06526,65.06526,1.04492,1.04492,56.59097,58.34727
12,financialStrength,UAA,18.69657,18.69657,1.90028,1.90028,361.918,361.918,27.56572,27.56572,8.93135,11.62404,0,0,1.27281,1.27281,27.56572,27.56572
13,financialStrength,AMAT,22.10635,19.94042,2.29503,2.35697,2035,2219,57.37765,54.43418,36.15789,35.07921,28.70992,27.37885,1.51383,1.59707,64.68225,61.36259
14,financialStrength,AMGN,24.35245,24.35245,1.4367,1.4367,5023,5023,278.6106,278.6106,18.13619,18.04851,45.33282,45.33282,1.15746,1.15746,309.1389,309.1389
15,financialStrength,AAL,,,0.44815,0.44815,-631,-631,,,3.83678,3.85036,10.67616,10.67616,0.34706,0.34706,,
16,financialStrength,AIG,,,,,-2127,-2127,51.48687,51.48687,8.57375,8.57375,33.98414,33.98414,,,53.82566,53.82566
17,financialStrength,ALL,,,,,3909,3909,25.50581,25.50581,37.11927,37.11927,14.06584,14.06584,,,25.50581,25.50581
18,financialStrength,ADBE,44.41216,40.75755,0.79294,1.2347,4027.334,4310.154,9.39135,39.30244,41.07275,36.79705,0,0,,,39.29723,39.30244
19,financialStrength,ACN,31.63208,26.46964,1.39674,1.37823,4166.219,3966.799,0.11276,0.08519,132.5486,303.8268,38.95546,39.1941,,,0.15725,0.12847
20,financialStrength,ABBV,46.20817,46.20817,3.17735,3.17735,6406,6406,,,9.78324,9.78324,83.30783,83.33971,3.06102,3.06102,,
21,financialStrength,MT.AS,,,1.34429,1.34429,1964.285,1964.285,29.77856,29.77856,2.25694,0.99617,,,0.53178,0.53178,37.22645,37.22645
22,financialStrength,LLY,69.58565,69.58565,1.16428,1.16428,1073.3,1073.3,530.051,530.051,18.08089,18.79708,52.40518,52.40518,0.89331,0.89331,587.5638,587.5638
23,financialStrength,AGN,,,1.00506,1.00506,5830.8,5830.8,31.14213,31.14213,0.2825,0.01459,,,0.90271,0.90271,38.93347,38.93347
24,financialStrength,APA,,,1.05714,1.05714,-430,-430,262.8264,262.8264,0.84597,0.93455,,,0.78652,0.78652,263.1644,263.1644
25,financialStrength,ADP,65.91498,60.81838,1.05255,1.02079,828.8,898.1,37.07846,18.69734,179.36,1619,58.37876,57.9676,,,37.07846,37.36858
27,financialStrength,AKAM,43.99949,43.99949,3.21866,3.21866,496.227,496.227,50.29557,50.29557,38.87787,38.87787,0,0,,,50.29557,50.29557
28,financialStrength,NLY,,,,,-4187.62,-4187.62,66.89143,66.89143,,,,,,,711.1456,711.1456
30,financialStrength,ATVI,25.67478,21.94885,2.50154,2.50154,1432,1715,20.89028,20.89028,115.9333,115.8667,18.82901,18.81649,2.49057,2.49057,20.89028,20.89028
31,financialStrength,ADSK,104.0412,106.5647,0.82607,0.82607,1361.9,1361.9,,,6.43258,6.43258,0,0,,,,
32,financialStrength,ADM,34.52299,34.52299,1.55432,1.55432,-7069,-7069,39.94169,39.94169,,,55.64175,55.64175,0.88663,0.88663,46.23594,46.23594
33,financialStrength,BMH.AX,,47.21267,2.06338,0.59039,-0.10347,0.68652,0,146.5844,,,,0,1.63541,0.45501,0,212.4218
34,financialStrength,WBA,19.71822,22.98475,0.72568,0.65972,2250,3612,47.20344,44.79531,23.17886,14.94048,40.90909,46.37847,0.3635,0.32297,71.60903,70.02403
35,financialStrength,ARNA,3.97909,3.97909,16.89982,16.89982,563.875,563.875,4.25707,4.25707,,,0,0,,,4.61303,4.61303
36,financialStrength,LUV,6.88904,6.88574,0.66734,0.66734,2588,2588,18.77543,18.77543,,,16.61525,16.61525,0.60824,0.60824,27.10537,27.10537
37,financialStrength,ACAD,,,10.16024,10.16024,-152.259,-152.259,0,0,,,,,10.0755,10.0755,0,0
38,financialStrength,PANW,,,1.78483,1.77638,924.4,890.3,90.14688,90.8424,-2.67614,-7.37725,,,,,90.14688,90.8424
39,financialStrength,AMD,146.6955,146.6955,1.94871,1.94871,276,276,17.19137,17.19137,7.2875,6.13684,0,0,1.53243,1.53243,17.19137,17.19137
41,financialStrength,AEP,,,0.39594,0.39594,-3223.6,-3223.6,128.9752,128.9752,3.04026,3.04026,61.33465,61.33465,0.28241,0.28241,151.8193,151.8193
42,financialStrength,ALXN,7.57287,7.57287,4.25052,4.25052,1914.2,1914.2,21.71703,21.71703,,,0,0,3.72503,3.72503,22.88721,22.88721
43,financialStrength,AVGO,31.84681,36.68041,1.43745,1.56467,5030,4906,120.4443,174.1423,3.54455,2.55947,156.4462,176.3428,1.31077,1.44269,131.6186,183.6261
44,financialStrength,EA,24.17577,8.84758,2.81722,2.83533,1428,1763,18.64566,13.74879,,22.57143,0,0,,,18.64566,13.74879
45,financialStrength,DBK.DE,,,,,-41003,-41003,173.603,311.9824,,,,,,,327.4363,326.1789
46,financialStrength,AEM.TO,389.1075,389.1075,1.53881,1.53881,-151.0702,-151.0702,28.6851,28.6851,6.26276,4.29836,27.45844,27.45844,0.79095,0.79095,36.01547,36.01547
47,financialStrength,APD,,2606.595,2.53627,2.59467,-13.8,-60.5,29.19773,28.25891,,,57.69627,54.07392,2.32303,2.37444,30.08974,28.91312
48,financialStrength,AMBA,,,8.44087,8.44087,37.593,37.593,0,0,,,,,8.01113,8.01113,0,0
49,financialStrength,NOVN.SW,84.19875,84.15805,1.04387,1.04387,4617.677,4617.677,39.75917,39.75917,,74.06536,98.87003,98.87003,0.83222,0.83222,52.54353,52.87702
50,financialStrength,ANF,,,1.55117,1.55117,46.391,46.391,21.9079,21.9079,17.02029,16.80127,130.8755,130.8755,1.01848,1.01848,21.9079,21.9079
51,financialStrength,LULU,42.90837,42.89749,2.91406,2.91406,386.268,386.268,0,0,590.5955,590.9868,0,0,2.07832,2.07832,0,0
52,financialStrength,RAD,,,1.67888,1.46061,-473.354,-381.557,293.1388,353.0876,0.63454,0.68915,,,0.91267,0.78265,294.4965,354.0213
53,financialStrength,BRK.AX,,,0.28147,0.28147,-3.32942,-3.32942,0,0,1.27121,1.27117,,0,,,60.185,60.185
55,financialStrength,AGNC,,,,,41,41,23.12291,23.12291,,,172.1338,172.1338,,,809.7999,809.7999
56,financialStrength,JBLU,,,0.67067,0.67067,293,293,41.46697,41.46697,22.13514,24.69697,0,0,0.64026,0.64026,48.63513,48.63513
57,financialStrength,A,24.08296,34.59707,1.53317,1.63953,659,388,37.72115,36.86056,24.06818,21.87234,19.23436,27.48691,1.20673,1.26638,50.69503,50.78383
58,financialStrength,ORLY,24.93814,24.93814,0.85775,0.85775,1080.422,1080.422,979.1431,979.1431,14.59186,14.30922,0,0,0.08493,0.08493,979.1431,979.1431
59,financialStrength,FOLD,,,4.03746,4.03746,-270.428,-270.428,31.3806,31.3806,-35.25884,-35.25884,,,3.92845,3.92845,31.3806,31.3806
60,financialStrength,AZO,15.88568,15.8213,0.91229,0.91712,1632.463,1472.307,,,11.99182,11.61615,0,0,0.12873,0.12014,,
61,financialStrength,AN,11.77424,11.77424,0.86489,0.86489,499.9,499.9,49.91936,49.91936,3.28496,3.28496,,0,0.21672,0.21672,66.54122,66.54122
62,financialStrength,AZN.L,,,0.85903,0.85903,-2514.68,-2514.68,123.5393,123.5393,3.89535,2.28561,269.0637,269.0637,0.68278,0.68278,138.8512,138.8512
63,financialStrength,AES,,,1.02649,1.02649,-373,-373,610.9813,610.9813,2.79896,2.79896,121.5232,121.5232,0.93093,0.93093,673.3311,673.3311
64,financialStrength,ABI.BR,39.87802,,0.82701,0.82701,2967.245,2967.245,128.845,128.845,6.85235,7.21485,40.99691,40.99691,0.70296,0.69995,136.0793,136.0793
65,financialStrength,ARR,,,,,-180.828,-180.828,0,0,,,,,,,790.3175,790.3175
66,financialStrength,BDX,59.79828,87.02285,1.17843,0.95718,1389,1843,85.76918,79.94057,4.6869,5.18135,80.62016,127.4659,0.72237,0.54683,91.97856,91.52438
67,financialStrength,AKS,29.4632,29.4632,1.90504,1.90504,71.1,71.1,1299.538,1299.538,2.25742,2.26221,0,0,0.63564,0.63564,1299.538,1299.538
68,financialStrength,AB,,,,,0.27,0.27,0,0,,,95.39353,93.69722,,,0,0
69,financialStrength,ACOR,,,2.3281,2.3281,-218.593,-218.593,70.2236,70.2236,-1.9247,-1.9247,,,2.03614,2.03614,70.41761,70.41761
70,financialStrength,CSGN.SW,,,,,-20413,-20413,293.5318,348.2838,,,9.91518,9.91518,,,568.5593,568.5593
71,financialStrength,AFL,,,,,4684,4684,22.16927,22.16927,26.25439,26.13974,24.24334,24.25068,,,22.16927,22.16927
72,financialStrength,ADI,33.18381,37.23625,1.31585,1.07943,1200.247,1192.838,44.3434,40.59451,8.2536,7.69377,57.17689,66.23212,0.91158,0.74705,46.90265,46.99734
73,financialStrength,ACIW,26.67472,26.67472,1.50401,1.50401,89.635,89.635,118.4995,118.4995,2.83047,2.68469,0,0,,,121.5216,121.5216
74,financialStrength,AMP,18.62624,18.63927,,,1694,1694,82.47513,82.47513,13.2757,13.2757,27.36397,27.36397,,,337.86,337.86
76,financialStrength,AMTD,12.11264,14.81608,,,6754,3461,41.31034,40.64251,20.84028,19.06294,21.60326,24.05446,,,41.31034,40.64251
77,financialStrength,AEO,10.3644,10.49322,1.39398,1.39398,110.604,110.604,0,0,,,49.74615,49.74668,0.80033,0.80033,0,0
78,financialStrength,AWK,,,0.62836,0.62836,-624,-624,141.2188,141.2188,3.15183,3.15183,58.29308,58.29308,0.60685,0.60685,154.5172,154.5172
79,financialStrength,NOVO-B.CO,55.76067,54.84225,1.05888,1.05888,16142,16142,5.22459,5.22459,14.28879,13.35445,50.45057,38.84353,0.7598,0.7598,7.78393,7.78393
80,financialStrength,ALK,9.29083,9.29083,0.63636,0.63636,853,853,29.18495,29.18495,57.84211,68.5,22.49675,22.49675,0.61387,0.61387,34.61094,34.61094
81,financialStrength,PAA,125.7904,123.8249,0.91927,0.91927,47,47,70.33379,70.33379,,,51.0422,51.01626,0.79888,0.79888,74.19231,74.19231
82,financialStrength,AAP,26.12281,26.12602,1.27198,1.27198,378.076,378.076,21.05672,21.05672,18.13748,18.90997,3.49931,3.49931,0.28215,0.28215,21.05672,21.05672
83,financialStrength,NAT,23.38103,23.3804,2.19171,2.19171,23.281,23.281,63.19833,63.19833,0.83931,0.83934,,,1.81095,1.81095,67.15131,67.15131
84,financialStrength,AIV,104.7203,104.7203,,,-419.418,-419.418,253.0308,253.0308,1.08243,1.08243,51.8387,51.83892,,,253.0308,253.0308
85,financialStrength,AGIO,,,6.58553,6.58553,-382.793,-382.793,0.10507,0.10507,,,,,6.50661,6.50661,0.14769,0.14769
86,financialStrength,AEE,,,0.57126,0.57126,-744,-744,110.6217,110.6217,3.6408,3.66185,57.00483,57.00483,0.37405,0.37405,121.5659,121.5659
87,financialStrength,UBSG.SW,,,,,15165.77,17642.61,244.639,292.3221,,,122.119,122.119,,,389.9731,389.9731
88,financialStrength,AVXL,,,5.026,5.7512,-18.52712,-20.09211,0,0,,,,,,,0,0
89,financialStrength,ARLP,8.72304,8.72304,1.63399,1.63399,-69.388,-69.388,61.46189,61.46189,9.03966,9.03966,68.78953,68.78953,1.11603,1.11603,63.17909,63.17909
90,financialStrength,ANTM,,,,,4166,4166,56.06089,56.06089,9.08847,9.08847,17.10006,17.10006,,,63.30371,63.30371
94,financialStrength,ABC,27.3895,37.16493,0.95101,0.94529,1694.827,1373.044,151.2513,123.0651,12.95577,15.63841,41.42088,51.82497,0.57711,0.56376,156.0799,141.0873
96,financialStrength,ATI,7.99718,7.99718,2.71196,2.71196,61.7,61.7,66.3796,66.3796,3.3783,3.46679,0,0,1.35151,1.35151,66.92981,66.92981
97,financialStrength,AVB,,,,,-1131.262,-1131.262,66.57686,66.57686,4.26926,4.26926,108.5948,108.5948,,,66.57686,66.57686
99,financialStrength,ALNY,,,4.8664,4.8664,-418.583,-418.583,0,0,,,,,4.70659,4.70659,0,0
100,financialStrength,LH,16.95766,16.95766,1.12252,1.12252,1044.5,1044.5,77.71772,77.71772,6.99859,6.99859,0,0,1.03039,1.03039,83.31571,83.31571
101,financialStrength,AVY,247.6015,247.6015,1.03851,1.03851,299.6,299.6,124.5266,124.5266,10.43127,10.72562,62.48353,62.48353,0.74434,0.74434,161.088,161.088
103,financialStrength,ASH,34.36459,23.01698,1.893,1.95349,23,43,42.03304,41.43448,2.47312,4.08475,122.6415,49.25373,1.10436,1.03343,46.6816,46.37241
105,financialStrength,ACHN,,,23.28007,8.96411,-62.527,-60.199,0,0,,,,,,,0.04925,0
107,financialStrength,ABMD,25.66266,26.80182,6.38877,5.04183,208.193,256.723,0,0,,,0,0,5.62515,4.31956,0,0
108,financialStrength,ABM,17.68975,16.52393,1.41334,1.47503,155.4,160.2,48.262,50.55459,4.56757,5.23438,37.41176,33.70708,,,51.97147,55.47862
109,financialStrength,LIFE,,,2.4704,2.4704,-20.092,-20.092,0,0,,,,,,,41.2395,41.2395
110,financialStrength,ATO,,,0.37871,0.9609,-970.425,-1086.281,61.37939,70.5686,7.23254,7.43541,48.08646,37.18525,0.26622,0.82453,69.46456,70.56942
111,financialStrength,AON,24.64806,24.64806,1.05812,1.05812,1200,1200,198.6074,198.6074,8.22813,8.22813,26.74494,26.74494,,,220.4148,220.4148
112,financialStrength,ADXS,,,7.9958,9.26047,-37.409,-32.933,0,0,,,,,,,0,0
113,financialStrength,ADC,,,,,-696.122,-696.122,51.63577,51.63577,3.10322,3.10303,118.2279,118.2279,,,51.63577,51.63577
115,financialStrength,SAVE,6.09041,6.09041,1.24585,1.24585,216.784,216.784,86.69461,86.69461,8.14348,8.14348,0,0,,,98.14149,98.14149
116,financialStrength,AKRX,,,0.48707,0.48707,-67.453,-67.453,0.01451,0.01451,-0.59193,-0.59193,,,0.31453,0.31453,359.9705,359.9705
117,financialStrength,ADS,37.89071,37.89071,2.03106,2.03106,948,948,768.8094,768.8094,2.62763,2.62763,23.85511,23.85511,2.01269,2.01269,1403.11,1403.11
119,financialStrength,AYI,8.38132,9.4263,2.41872,2.28556,420.9,447.4,18.10933,19.10909,14.28746,14.27667,6.3376,6.99395,1.84701,1.67634,18.58356,19.86211
120,financialStrength,AMT,120.4656,120.4656,0.46537,0.46537,1158.3,1158.3,417.9135,417.9135,3.92513,3.92513,89.01367,89.01367,,,475.8358,475.8358
122,financialStrength,ACM,,,1.16604,1.15561,676.952,662.386,89.03095,91.42865,4.5883,4.94806,,,,,92.2062,94.46812
123,financialStrength,ATRS,,,3.34555,3.34555,-12.965,-12.965,74.11927,74.11927,0.27952,0.27952,,,2.85195,2.85195,74.11927,74.11927
124,financialStrength,ARW,,,1.51682,1.51682,707.188,707.188,54.86645,54.86645,5.75182,5.75182,,,1.09577,1.09577,61.75416,61.75416
125,financialStrength,ARI,,,,,-17.771,-17.771,57.234,57.234,13.84459,13.84459,133.9981,133.9981,,,156.9559,156.9559
126,financialStrength,AR,,,0.88727,0.88727,-938.229,-938.229,53.94609,53.94609,0.71481,0.71481,,,,,53.95933,53.95933
127,financialStrength,AMC,,,0.34818,0.34818,-23.2,-23.2,397.2163,397.2163,0.94169,0.94169,,,0.32878,,399.7117,399.7117
128,financialStrength,AL,,,,,-2632.375,-2632.375,241.4646,241.4646,2.69508,2.69508,10.53771,10.53771,,,241.4646,241.4646
129,financialStrength,AGEN,,,0.7081,0.7081,-23.339,-23.339,,,-1.69205,-1.69205,,,0.7081,0.7081,,
130,financialStrength,AAN,0.76056,0.76056,,,214.785,214.785,19.63035,19.63035,20.93404,20.93404,31.1229,31.1229,,,19.63035,19.63035
131,financialStrength,WTR,,,0.36887,6.18787,-277.951,-424.045,119.3643,75.03564,2.2509,1.92858,78.64145,57.26274,0.32916,6.1395,127.3268,79.90588
132,financialStrength,BAH,45.35872,45.31413,1.44105,1.92642,290.695,320.18,251.9874,221.4823,6.77027,6.7353,29.3845,31.35552,,,260.5641,229.9918
133,financialStrength,AXAS,,,0.7882,0.73703,-99.509,-61.828,109.958,117.0831,,,0,0,,,110.1183,117.244
134,financialStrength,AVT,22.56427,34.0531,2.66672,2.38102,324.922,766.413,34.29371,30.17474,4.53632,3.44005,45.65373,79.49801,1.50002,1.32153,41.55226,42.61299
135,financialStrength,ALB,,,1.57922,1.57922,-284.626,-284.626,72.80618,72.80618,8.86101,8.86121,44.81891,44.81891,1.03345,1.03345,77.57027,77.57027
136,financialStrength,AIZ,,,,,1133.1,1133.1,35.50276,35.50276,15.29313,15.80167,41.60484,41.60484,,,35.50276,35.50276
137,financialStrength,SAIC,23.20505,23.20505,1.26773,1.26773,350,350,130.6281,130.6281,4.55556,4.55556,38.49558,38.49558,,,135.5681,135.5681
138,financialStrength,CAR,,,0.96404,0.96404,-10551,-10551,2207.927,2207.927,1.58365,1.58812,0,0,,,2210.823,2210.823
139,financialStrength,ANG.JO,46.65219,41.78414,1.15974,1.15974,5729.234,5729.234,53.97727,53.97727,,,13.45279,0,0.78994,0.78994,83.48485,83.48485
140,financialStrength,APH,25.68776,25.69061,1.97459,1.97459,927.8,927.8,70.71055,70.71055,13.98469,13.99574,24.7013,24.70344,1.36029,1.36029,79.61283,79.61283
141,financialStrength,ANTH,,,0.67735,3.30272,-36.9,-31.952,,0,,,,,,,,0
144,financialStrength,AI,,,,,2.045,2.045,22.71305,22.71305,,,371.4414,371.4414,,,1117.063,1117.063
146,financialStrength,WMC,,,,,-115.104,-115.104,797.1417,797.1417,,,91.9342,91.93159,,,797.1417,797.1417
147,financialStrength,MPX.AX,,,0.12331,0.10871,-0.47953,0.06128,99.69188,128.4562,0.36282,0.39907,,,0.05319,0.03133,208.0529,218.0341
148,financialStrength,JKHY,83.15668,79.62683,1.21169,1.24647,141.602,155.726,0,0,6945.7,,43.67472,43.71222,,,0,0
149,financialStrength,AVAV,21.65044,30.00375,10.46646,7.56224,10.364,24.085,0,0,,,0,0,9.26162,6.48485,0,0
150,financialStrength,AMKR,13.60488,13.60488,1.88859,1.88859,91.417,91.417,66.49331,66.49331,3.43723,3.43723,0,0,1.68044,1.68044,74.31512,74.31512
152,financialStrength,AEIS,28.63605,28.63605,2.70575,2.70575,23.204,23.204,47.51298,47.51298,,,0,0,1.98768,1.98768,50.09901,50.09901
153,financialStrength,Y,,,,,666.833,666.833,19.95176,19.95176,,,,0,,,19.95176,19.95176
155,financialStrength,CENX,,,2.08515,2.08515,-41.9,-41.9,39.88148,39.88148,-5.86179,-5.86992,,,0.71331,0.71331,44,44
156,financialStrength,ASPS,,,2.10313,2.10313,44.527,44.527,,,2.16299,2.16299,,,,,,
157,financialStrength,AMRN,,,3.52946,3.52946,-11.844,-11.043,0,0,,,,,3.21256,3.21256,8.2415,8.2415
158,financialStrength,AMPE,,,1.92577,1.92577,-15.405,-15.405,0,0,,,,,,,0,0
159,financialStrength,AMAG,,,1.52054,1.52054,-188.24,-188.24,96.82475,96.82475,-6.10974,-6.10964,,,1.36898,1.36898,96.82475,96.82475
160,financialStrength,ALKS,,,2.45958,2.45958,-18.865,-18.865,25.27035,25.27035,,,,,2.19929,2.19929,25.53227,25.53227
161,financialStrength,ADES,11.48045,11.48045,1.19675,1.19675,31.411,31.411,18.86935,18.86935,,,51.94838,51.94692,0.8035,0.8035,40.96886,40.96886
162,financialStrength,AAON,102.2303,74.8217,3.34742,3.34742,44.114,52.417,2.17826,2.17826,,,30.98993,30.98993,2.03377,2.03377,2.17826,2.17826
163,financialStrength,XLRN,,,13.48144,13.48144,-97.091,-97.091,0,0,,,,,,,0,0
164,financialStrength,VRSK,66.27538,66.25854,0.49933,0.49933,575.7,575.7,117.2859,117.2859,5.73074,5.78738,36.47477,36.47477,,,139.3754,139.3754
165,financialStrength,VJET,,,6.01968,4.53336,-12.45731,-11.84774,35.14427,53.82728,,,,,4.42272,2.62663,36.97459,57.49414
167,financialStrength,APTS,,,,,-677.795,-677.795,136.515,136.515,0.89527,0.89527,,,,,136.515,136.515
168,financialStrength,APO,16.57441,16.57443,,,571.269,571.269,189.0026,189.0026,,,51.75038,51.75038,,,189.0026,189.0026
169,financialStrength,ALSK,,,1.48979,1.48979,14.051,14.051,96.99588,96.99588,1.89181,1.89181,0,0,1.3267,1.3267,102.1539,102.1539
170,financialStrength,ALG,23.7361,23.7361,3.50472,3.50472,51.754,51.754,74.61795,74.61795,9.94411,9.94411,8.9435,8.9435,1.86128,1.86128,77.92462,77.92462
171,financialStrength,AHC,,,2.76013,2.6524,-1.054,-5.911,0,0,,,,,2.63658,2.54033,0,0
172,financialStrength,ACTG,,,14.66197,14.66197,-6.911,-6.911,0,0,,,,,,,0,0
174,financialStrength,MAA,1637.626,1637.626,,,-68.214,-68.214,73.23394,73.23394,2.65618,2.65618,126.6284,126.6281,,,73.23394,73.23394
177,financialStrength,AT,158.0646,158.0646,1.24247,1.24247,130,130,402.7596,402.7596,0.6168,0.64606,,,1.09113,1.09113,458.2426,458.2426
179,financialStrength,ARCO,,,0.68078,0.68078,,,148.9234,148.9234,4.11295,4.11295,18.18229,28.03269,,,155.2007,155.2007
180,financialStrength,ANET,13.82068,13.82068,5.81441,5.81441,947.283,947.283,0,0,,,0,0,5.38308,5.38308,0,0
182,financialStrength,AIR,7.708,9.78937,2.66434,2.38636,39.5,-0.1,15.6419,22.16484,11.56471,10.50602,13.35878,15.66618,1.19944,1.1055,15.6419,22.16484
184,financialStrength,WAB,26.70644,26.70986,1.28671,1.28671,748.5,748.5,43.52534,43.52534,3.2343,3.12958,25.00765,25.01814,0.74248,0.74248,44.48652,44.48652
185,financialStrength,RS,12.69882,12.69882,4.45757,4.45757,908,908,29.26286,29.26286,11.38833,11.93765,21.3685,21.3685,2.02058,2.02058,30.50935,30.50935
186,financialStrength,PKG,24.5176,24.53687,3.42415,3.42415,505.4,505.4,81.17226,81.17226,8.72838,8.72132,43.2147,43.2147,2.32702,2.32702,81.2211,81.2211
187,financialStrength,AXDX,,,14.92918,14.92918,-65.124,-65.124,,,-6.29427,-6.29499,,,13.9418,13.9418,,
189,financialStrength,AVA,,,0.57494,0.57494,-147.07,-147.07,100.4012,100.4012,2.29651,2.29651,52.17409,52.17409,0.44948,0.44948,112.8079,112.8079
190,financialStrength,ATHX,,,2.89561,2.89561,-35.905,-35.905,0,0,,,,,,,0,0
191,financialStrength,ARWR,39.65976,51.00817,2.73251,6.88802,161.0337,-34.36375,0,0,,,0,0,,,0,0
192,financialStrength,ANGI,35.63905,35.63905,2.32605,2.32605,145.357,145.357,17.64803,17.64803,13.28463,13.28463,0,0,,,18.69423,18.69423
193,financialStrength,AMG,13.59207,13.58864,,,849.6,849.6,61.06553,61.06553,1.79177,1.79177,421.0191,421.0191,,,61.06553,61.06553
194,financialStrength,ALSN,11.34923,11.34923,1.64508,1.64508,601,601,321.6389,321.6389,6.67164,6.67164,12.08609,5.96026,1.16787,1.16787,322.4072,322.4072
195,financialStrength,ALGN,29.70363,29.70363,1.68225,1.68225,597.563,597.563,0,0,,,0,0,1.56685,1.56685,0,0
196,financialStrength,AKBA,,,1.4873,1.4873,-264.096,-264.096,19.20295,19.20295,,,,,0.92824,0.92824,19.20295,19.20295
197,financialStrength,AGO,,,,,-583,-583,18.63232,18.6022,7.15294,7.14118,18.40796,18.40796,,,18.63232,18.6022
199,financialStrength,ACRX,,,5.26692,5.26692,-54.65,-54.65,,,-146.897,-146.897,,,5.02483,5.02483,,
200,financialStrength,ROK,71.46569,37.41106,1.54156,1.45466,589.4,612.5,484.0178,272.3849,,34.8845,66.14876,49.7893,1.24432,1.15221,558.3622,317.643
201,financialStrength,GLPI,190.403,190.403,,,158.157,158.157,276.6289,276.6289,2.38534,2.38534,150.9404,150.9404,,,276.6289,276.6289
202,financialStrength,AZZ,15.40728,14.15387,2.2974,2.27348,71.334,76.356,39.8764,39.01228,5.14034,7.21309,35.35962,26.70649,1.5397,1.61857,39.8764,39.01228
203,financialStrength,ATRC,,,2.86802,2.86802,-27.993,-27.993,28.87003,28.87003,-17.01343,-17.49562,,,2.27875,2.27875,29.17447,29.17447
205,financialStrength,ARMK,26.15956,35.83159,0.98266,1.2313,372.698,281.758,199.161,205.3474,2.26927,2.33143,25.20467,34.65388,0.83062,1.0581,201.2672,207.7515
206,financialStrength,AOS,23.62047,23.62047,1.95747,1.95747,242.6,242.6,16.63067,16.63067,43.91818,43.91818,40.37838,40.37838,1.56217,1.56217,17.03864,17.03864
209,financialStrength,AMCX,9.30785,9.30785,2.89715,2.89715,392.144,392.144,459.2285,459.2285,6.66361,7.22741,0,0,,,468.2462,468.2462
210,financialStrength,ALIM,,,2.71788,2.71788,-4.326,-4.326,,,-1.06481,-1.02948,,,2.60251,2.60251,,
211,financialStrength,ALE,,,0.53114,0.53114,-469,-469,62.76715,62.76715,4.16204,4.16204,65.40948,65.40948,0.38766,0.38766,72.30611,72.30611
212,financialStrength,AHT,,,,,-280.773,-280.773,1527.938,1527.938,0.46329,0.46329,,,,,1527.938,1527.938
213,financialStrength,ABBN.SW,,32.12953,1.30554,1.30554,-109.5024,1528.145,50.06654,50.06654,24.82609,17.55862,173.2786,173.2786,1.09908,1.09908,66.97472,66.97472
214,financialStrength,SPR,5.23995,5.23995,2.63702,2.63702,640.1,640.1,169.4164,169.4164,7.19039,7.19039,9.50312,9.50671,2.00159,2.00159,172.2664,172.2664
215,financialStrength,SEE,72.88877,73.25358,1.08898,1.08898,222.3,222.3,,,3.27931,3.27931,42.05214,42.19409,0.6919,0.6919,,
216,financialStrength,DLPH,,,1.34751,1.34751,-79,-79,461.9048,461.9048,5.08475,5.08475,0,0,0.98201,0.98201,474.6032,474.6032
217,financialStrength,CBL,,,,,79.932,79.932,437.4256,437.4256,1.10755,1.10755,,,,,437.4256,437.4256
